flag_id,date,category,severity,action,reviewer_id,resolution_hrs,ml_score,coordinated_flag,attack_id
F000092,2024-01-01,harassment,critical,auto_block,REV005,20.7,0.8466,False,
F000093,2024-01-01,harassment,low,allow,REV015,3.8,0.8548,False,
F000094,2024-01-01,harassment,medium,downrank,REV016,21.1,0.9677,False,
F000095,2024-01-01,harassment,medium,downrank,REV016,76.5,0.8216,False,
F000096,2024-01-01,harassment,high,auto_block,REV008,3.3,0.7874,False,
F000097,2024-01-01,harassment,low,allow,REV009,3.9,0.8992,False,
F000098,2024-01-01,harassment,low,allow,REV013,15.2,0.9464,False,
F000099,2024-01-01,harassment,high,human_review,REV005,47.9,0.7854,False,
F000100,2024-01-01,harassment,medium,human_review,REV017,104.7,0.919,False,
F000101,2024-01-01,harassment,low,allow,REV017,24.0,0.8365,False,
F000102,2024-01-01,harassment,high,auto_block,REV006,0.9,0.7803,False,
F000103,2024-01-01,harassment,medium,human_review,REV003,33.3,0.83,False,
F000104,2024-01-01,harassment,medium,downrank,REV019,3.3,0.8443,False,
F000105,2024-01-01,harassment,low,downrank,REV008,101.1,0.78,False,
F000106,2024-01-01,harassment,medium,human_review,REV003,17.6,0.8766,False,
F000107,2024-01-01,harassment,medium,downrank,REV005,19.3,0.8226,False,
F000108,2024-01-01,harassment,low,allow,REV005,26.2,0.8318,False,
F000109,2024-01-01,harassment,medium,downrank,REV006,5.7,0.987,False,
F000110,2024-01-01,harassment,medium,downrank,REV019,19.4,0.9405,False,
F000111,2024-01-01,harassment,high,auto_block,REV015,11.5,0.9237,False,
F000112,2024-01-01,harassment,low,allow,REV002,29.5,0.7748,False,
F000113,2024-01-01,harassment,medium,human_review,REV011,5.6,0.8572,False,
F000114,2024-01-01,harassment,low,downrank,REV003,20.4,0.8049,False,
F000115,2024-01-01,harassment,high,human_review,REV019,57.9,0.8844,False,
F000116,2024-01-01,harassment,low,downrank,REV001,4.5,0.8192,False,
F000117,2024-01-01,harassment,medium,human_review,REV017,53.9,0.832,False,
F000118,2024-01-01,harassment,medium,downrank,REV016,49.6,0.825,False,
F000119,2024-01-01,harassment,low,downrank,REV017,78.8,0.8707,False,
F000120,2024-01-01,harassment,medium,downrank,REV014,6.5,0.9,False,
F000121,2024-01-01,harassment,medium,downrank,REV019,0.9,0.8635,False,
F000122,2024-01-01,harassment,medium,downrank,REV006,2.7,1.0,False,
F000123,2024-01-01,harassment,medium,human_review,REV005,7.5,0.916,False,
F000124,2024-01-01,harassment,low,allow,REV004,20.2,0.782,False,
F000125,2024-01-01,harassment,low,allow,REV004,31.3,0.8703,False,
F000126,2024-01-01,harassment,medium,human_review,REV009,3.3,0.838,False,
F000127,2024-01-01,harassment,low,allow,REV013,44.9,0.9391,False,
F000128,2024-01-01,harassment,low,allow,REV009,91.3,0.8497,False,
F000129,2024-01-01,hate_speech,low,allow,REV002,5.7,0.8735,False,
F000130,2024-01-01,hate_speech,medium,downrank,REV017,0.1,0.8575,False,
F000131,2024-01-01,hate_speech,medium,downrank,REV019,18.4,0.8883,False,
F000132,2024-01-01,hate_speech,high,auto_block,REV004,55.1,0.9016,False,
F000133,2024-01-01,hate_speech,low,allow,REV006,45.3,0.8371,False,
F000134,2024-01-01,hate_speech,medium,human_review,REV011,15.7,0.8447,False,
F000135,2024-01-01,hate_speech,medium,human_review,REV002,19.1,0.9634,False,
F000136,2024-01-01,hate_speech,low,allow,REV005,14.1,0.7628,False,
F000137,2024-01-01,hate_speech,low,downrank,REV017,75.9,0.9795,False,
F000138,2024-01-01,hate_speech,high,human_review,REV011,8.4,0.8298,False,
F000139,2024-01-01,hate_speech,high,auto_block,REV008,13.7,0.8643,False,
F000140,2024-01-01,hate_speech,high,human_review,REV003,25.7,0.8522,False,
F000141,2024-01-01,hate_speech,low,allow,REV013,21.3,0.8745,False,
F000142,2024-01-01,hate_speech,medium,downrank,REV008,14.4,0.9638,False,
F000143,2024-01-01,hate_speech,low,allow,REV017,33.5,0.9126,False,
F000144,2024-01-01,hate_speech,high,auto_block,REV008,12.5,0.8178,False,
F000145,2024-01-01,hate_speech,low,allow,REV010,62.9,0.7666,False,
F000146,2024-01-01,hate_speech,low,allow,REV020,46.5,0.8218,False,
F000147,2024-01-01,hate_speech,medium,human_review,REV004,3.7,0.9085,False,
F000148,2024-01-01,hate_speech,medium,downrank,REV001,50.2,0.896,False,
F000149,2024-01-01,hate_speech,low,allow,REV015,44.5,0.821,False,
F000150,2024-01-01,hate_speech,medium,human_review,REV012,6.2,0.7502,False,
F000151,2024-01-01,hate_speech,medium,human_review,REV005,30.2,0.9265,False,
F000152,2024-01-01,hate_speech,high,human_review,REV006,6.7,0.96,False,
F000153,2024-01-01,hate_speech,low,allow,REV015,45.4,0.869,False,
F000154,2024-01-01,hate_speech,medium,human_review,REV016,2.6,0.9922,False,
F000155,2024-01-01,hate_speech,medium,downrank,REV009,20.6,0.8205,False,
F000156,2024-01-01,hate_speech,low,allow,REV011,130.7,0.8836,False,
F000157,2024-01-01,hate_speech,medium,human_review,REV015,21.5,0.8628,False,
F000158,2024-01-01,spam,low,downrank,REV011,37.0,0.8094,False,
F000159,2024-01-01,spam,high,auto_block,REV017,10.5,0.7773,False,
F000160,2024-01-01,spam,medium,human_review,REV020,20.7,0.8505,False,
F000161,2024-01-01,spam,low,allow,REV011,21.6,0.8756,False,
F000162,2024-01-01,spam,medium,human_review,REV017,77.9,0.8091,False,
F000163,2024-01-01,spam,medium,downrank,REV008,18.4,0.8858,False,
F000164,2024-01-01,spam,medium,human_review,REV019,5.7,0.8607,False,
F000165,2024-01-01,spam,low,allow,REV016,47.1,0.8588,False,
F000166,2024-01-01,spam,medium,human_review,REV017,17.8,0.8473,False,
F000167,2024-01-01,spam,low,allow,REV001,8.1,0.9352,False,
F000168,2024-01-01,spam,low,downrank,REV002,109.3,0.8186,False,
F000169,2024-01-01,spam,low,downrank,REV018,8.1,0.9061,False,
F000170,2024-01-01,spam,high,auto_block,REV008,3.5,0.7789,False,
F000171,2024-01-01,spam,low,allow,REV001,9.4,0.877,False,
F000172,2024-01-01,spam,medium,downrank,REV020,78.9,0.9225,False,
F000173,2024-01-01,spam,medium,human_review,REV016,8.3,0.881,False,
F000174,2024-01-01,spam,low,allow,REV019,6.3,0.8944,False,
F000175,2024-01-01,spam,medium,human_review,REV015,53.6,0.8833,False,
F000176,2024-01-01,spam,medium,human_review,REV020,0.8,0.8371,False,
F000177,2024-01-01,spam,medium,human_review,REV002,19.3,0.9144,False,
F000178,2024-01-01,spam,high,auto_block,REV017,67.6,0.8683,False,
F000179,2024-01-01,spam,medium,human_review,REV002,32.5,0.8112,False,
F000180,2024-01-01,spam,medium,human_review,REV013,99.9,0.8685,False,
F000181,2024-01-01,spam,medium,downrank,REV010,41.5,0.8508,False,
F000182,2024-01-01,spam,medium,human_review,REV010,42.5,0.9603,False,
F000183,2024-01-01,spam,low,downrank,REV008,14.9,0.8959,False,
F000184,2024-01-01,spam,low,allow,REV014,87.4,0.998,False,
F000185,2024-01-01,spam,low,downrank,REV019,64.3,0.8492,False,
F000186,2024-01-01,spam,low,allow,REV008,61.4,0.9012,False,
F000187,2024-01-01,spam,medium,human_review,REV005,26.2,0.8538,False,
F000188,2024-01-01,spam,medium,human_review,REV017,44.2,0.7984,False,
F000189,2024-01-01,spam,medium,human_review,REV002,9.8,0.8673,False,
F000190,2024-01-01,spam,low,downrank,REV010,56.0,0.8583,False,
F000191,2024-01-01,spam,medium,human_review,REV012,1.9,0.9485,False,
F000192,2024-01-01,spam,medium,human_review,REV017,2.3,0.7719,False,
F000193,2024-01-01,spam,low,allow,REV015,28.3,0.9172,False,
F000194,2024-01-01,spam,low,allow,REV005,68.3,0.8946,False,
F000195,2024-01-01,spam,medium,downrank,REV012,6.9,0.9243,False,
F000196,2024-01-01,spam,low,allow,REV007,9.6,0.8815,False,
F000197,2024-01-01,spam,low,allow,REV016,16.9,0.8704,False,
F000198,2024-01-01,spam,low,allow,REV003,2.7,0.8928,False,
F000199,2024-01-01,spam,low,allow,REV003,1.8,0.8996,False,
F000200,2024-01-01,spam,medium,human_review,REV012,14.0,0.864,False,
F000201,2024-01-01,spam,medium,downrank,REV013,18.6,0.9107,False,
F000202,2024-01-01,spam,medium,downrank,REV010,0.6,0.7925,False,
F000203,2024-01-01,spam,critical,auto_block,REV018,1.6,0.8893,False,
F000204,2024-01-01,spam,high,human_review,REV016,10.5,0.8341,False,
F000205,2024-01-01,spam,high,human_review,REV007,23.4,0.9305,False,
F000206,2024-01-01,spam,medium,downrank,REV018,8.5,0.8596,False,
F000207,2024-01-01,spam,low,downrank,REV001,2.1,0.8533,False,
F000208,2024-01-01,spam,high,auto_block,REV005,2.1,0.8477,False,
F000209,2024-01-01,spam,medium,human_review,REV014,13.0,0.8158,False,
F000210,2024-01-01,spam,medium,downrank,REV019,43.7,0.8525,False,
F000211,2024-01-01,spam,medium,human_review,REV009,4.7,0.827,False,
F000212,2024-01-01,spam,low,allow,REV017,166.9,0.8352,False,
F000213,2024-01-01,spam,medium,human_review,REV010,17.9,0.8516,False,
F000214,2024-01-01,spam,medium,human_review,REV009,33.1,0.9718,False,
F000215,2024-01-01,spam,high,human_review,REV003,9.8,0.8267,False,
F000216,2024-01-01,spam,low,allow,REV011,128.7,0.8565,False,
F000217,2024-01-01,spam,low,allow,REV008,22.4,0.8506,False,
F000218,2024-01-01,spam,medium,human_review,REV005,2.8,0.8876,False,
F000219,2024-01-01,spam,critical,auto_block,REV019,17.2,0.8619,False,
F000220,2024-01-01,spam,high,auto_block,REV006,5.0,0.8941,False,
F000221,2024-01-01,spam,medium,downrank,REV016,6.8,0.9523,False,
F000222,2024-01-01,spam,medium,downrank,REV006,23.1,0.9133,False,
F000223,2024-01-01,spam,low,allow,REV019,156.1,0.9185,False,
F000224,2024-01-01,spam,high,auto_block,REV018,38.3,0.8329,False,
F000225,2024-01-01,spam,high,human_review,REV007,11.3,0.8919,False,
F000226,2024-01-01,spam,low,downrank,REV002,5.9,0.8926,False,
F000227,2024-01-01,spam,medium,human_review,REV006,36.3,0.7654,False,
F000228,2024-01-01,spam,low,downrank,REV015,23.9,0.9193,False,
F000229,2024-01-01,spam,high,auto_block,REV004,44.3,0.8482,False,
F000230,2024-01-01,spam,low,downrank,REV001,41.9,0.8419,False,
F000231,2024-01-01,spam,low,downrank,REV014,91.8,0.8687,False,
F000232,2024-01-01,spam,critical,human_review,REV007,11.4,0.8321,False,
F000233,2024-01-01,spam,low,allow,REV019,22.3,0.8789,False,
F000234,2024-01-01,spam,low,downrank,REV003,138.6,0.8544,False,
F000235,2024-01-01,spam,medium,human_review,REV011,38.0,0.7988,False,
F000236,2024-01-01,spam,low,downrank,REV017,15.3,0.9161,False,
F000237,2024-01-01,spam,critical,auto_block,REV015,10.5,0.9255,False,
F000238,2024-01-01,spam,low,allow,REV001,198.4,0.7837,False,
F000239,2024-01-01,spam,low,allow,REV003,65.7,0.8254,False,
F000240,2024-01-01,spam,low,allow,REV008,30.8,0.9075,False,
F000241,2024-01-01,spam,low,downrank,REV008,4.6,0.8429,False,
F000242,2024-01-01,spam,medium,downrank,REV003,3.4,0.8921,False,
F000243,2024-01-01,spam,low,allow,REV007,0.1,0.9265,False,
F000244,2024-01-01,spam,low,allow,REV002,32.5,0.7921,False,
F000245,2024-01-01,spam,medium,human_review,REV008,14.6,0.8442,False,
F000246,2024-01-01,spam,medium,downrank,REV011,30.7,0.8764,False,
F000247,2024-01-01,spam,medium,downrank,REV008,36.3,0.8564,False,
F000248,2024-01-01,spam,medium,downrank,REV020,15.8,0.8438,False,
F000249,2024-01-01,spam,low,allow,REV001,136.0,0.8624,False,
F000250,2024-01-01,spam,medium,human_review,REV007,2.0,0.8465,False,
F000251,2024-01-01,spam,low,allow,REV018,56.1,0.8557,False,
F000252,2024-01-01,spam,high,auto_block,REV006,2.1,0.8776,False,
F000253,2024-01-01,spam,medium,downrank,REV009,22.8,0.8666,False,
F000254,2024-01-01,spam,medium,downrank,REV007,10.0,0.9048,False,
F000255,2024-01-01,spam,medium,human_review,REV003,21.8,0.8918,False,
F000256,2024-01-01,spam,low,downrank,REV012,43.2,0.9443,False,
F000257,2024-01-01,spam,low,allow,REV014,11.9,0.837,False,
F000258,2024-01-01,spam,low,downrank,REV018,33.1,0.8909,False,
F000259,2024-01-01,spam,low,allow,REV009,19.4,0.9165,False,
F000260,2024-01-01,spam,medium,human_review,REV015,13.0,0.7915,False,
F000261,2024-01-01,spam,low,allow,REV020,97.3,0.8363,False,
F000262,2024-01-01,sexual_content,medium,human_review,REV019,18.8,0.8979,False,
F000263,2024-01-01,sexual_content,medium,human_review,REV002,49.6,0.8547,False,
F000264,2024-01-01,sexual_content,medium,downrank,REV012,116.3,0.949,False,
F000265,2024-01-01,sexual_content,low,allow,REV004,71.8,0.8355,False,
F000266,2024-01-01,sexual_content,high,auto_block,REV014,4.3,0.8911,False,
F000267,2024-01-01,sexual_content,medium,human_review,REV015,2.5,0.8546,False,
F000268,2024-01-01,sexual_content,medium,human_review,REV007,26.1,0.8232,False,
F000269,2024-01-01,sexual_content,low,downrank,REV004,71.3,0.7953,False,
F000270,2024-01-01,sexual_content,critical,auto_block,REV003,2.2,0.918,False,
F000271,2024-01-01,sexual_content,low,downrank,REV005,7.6,0.9576,False,
F000272,2024-01-01,sexual_content,low,allow,REV020,58.9,0.8305,False,
F000273,2024-01-01,sexual_content,low,allow,REV012,73.1,0.8852,False,
F000274,2024-01-01,sexual_content,low,allow,REV020,39.2,0.7523,False,
F000275,2024-01-01,sexual_content,low,downrank,REV003,1.9,0.8964,False,
F000276,2024-01-01,sexual_content,medium,downrank,REV017,9.1,0.8626,False,
F000277,2024-01-01,sexual_content,medium,downrank,REV002,27.8,0.836,False,
F000278,2024-01-01,sexual_content,low,allow,REV015,41.7,0.7372,False,
F000279,2024-01-01,sexual_content,medium,human_review,REV020,3.4,0.8067,False,
F000280,2024-01-01,sexual_content,medium,human_review,REV018,26.9,0.8646,False,
F000281,2024-01-01,sexual_content,low,allow,REV015,158.7,0.8371,False,
F000282,2024-01-01,sexual_content,medium,downrank,REV010,69.4,0.8303,False,
F000283,2024-01-01,sexual_content,low,downrank,REV008,70.2,0.8692,False,
F000284,2024-01-01,sexual_content,medium,downrank,REV016,22.0,0.8683,False,
F000285,2024-01-01,sexual_content,high,human_review,REV006,2.8,0.7675,False,
F000286,2024-01-01,sexual_content,low,allow,REV013,240.5,0.9072,False,
F000287,2024-01-01,sexual_content,medium,human_review,REV014,12.4,0.8882,False,
F000288,2024-01-01,sexual_content,high,auto_block,REV013,37.1,0.8778,False,
F000289,2024-01-01,sexual_content,medium,human_review,REV015,18.9,0.8525,False,
F000290,2024-01-01,sexual_content,medium,downrank,REV019,19.9,0.8663,False,
F000291,2024-01-01,sexual_content,low,allow,REV011,12.4,0.8281,False,
F000292,2024-01-01,sexual_content,medium,downrank,REV014,23.2,0.7938,False,
F000293,2024-01-01,sexual_content,medium,human_review,REV011,15.5,0.7785,False,
F000294,2024-01-01,sexual_content,medium,downrank,REV011,30.4,0.8685,False,
F000295,2024-01-01,sexual_content,low,downrank,REV015,125.7,0.8474,False,
F000296,2024-01-01,sexual_content,low,allow,REV014,10.4,0.8796,False,
F000297,2024-01-01,sexual_content,medium,human_review,REV003,39.0,0.8106,False,
F000298,2024-01-01,self_harm,medium,human_review,REV011,90.2,0.8242,False,
F000299,2024-01-01,self_harm,low,allow,REV007,77.2,0.9379,False,
F000300,2024-01-01,self_harm,low,allow,REV012,81.2,0.8189,False,
F000301,2024-01-01,self_harm,low,allow,REV009,145.2,0.8525,False,
F000302,2024-01-01,self_harm,medium,downrank,REV016,56.7,0.8369,False,
F000303,2024-01-01,self_harm,medium,human_review,REV019,8.6,0.8059,False,
F000304,2024-01-01,self_harm,high,human_review,REV018,2.6,0.8893,False,
F000305,2024-01-01,self_harm,low,downrank,REV001,97.7,0.8941,False,
F000306,2024-01-01,self_harm,low,downrank,REV011,44.8,0.8622,False,
F000307,2024-01-01,self_harm,low,downrank,REV002,43.3,0.8526,False,
F000308,2024-01-01,self_harm,low,allow,REV009,28.3,0.8291,False,
F000309,2024-01-01,self_harm,medium,downrank,REV019,3.3,0.9548,False,
F000310,2024-01-01,self_harm,medium,human_review,REV005,7.4,0.8685,False,
F000311,2024-01-01,self_harm,high,auto_block,REV006,6.3,0.8726,False,
F000312,2024-01-01,self_harm,low,downrank,REV008,77.3,0.822,False,
F000313,2024-01-01,self_harm,high,human_review,REV003,12.2,0.8617,False,
F000314,2024-01-01,fraud,critical,auto_block,REV012,3.2,0.7935,False,
F000315,2024-01-01,fraud,low,allow,REV010,9.0,0.9256,False,
F000316,2024-01-01,fraud,low,allow,REV017,67.7,0.8947,False,
F000317,2024-01-01,fraud,low,allow,REV019,6.1,0.7432,False,
F000318,2024-01-01,fraud,low,allow,REV012,125.6,0.835,False,
F000319,2024-01-01,fraud,low,allow,REV001,74.4,0.8482,False,
F000320,2024-01-01,fraud,medium,human_review,REV014,4.2,0.8402,False,
F000321,2024-01-01,fraud,low,downrank,REV009,20.4,0.8022,False,
F000322,2024-01-01,fraud,medium,downrank,REV004,7.9,0.7831,False,
F000323,2024-01-01,fraud,high,auto_block,REV020,13.4,0.8783,False,
F000324,2024-01-01,fraud,low,allow,REV018,5.9,0.9301,False,
F000325,2024-01-01,fraud,medium,downrank,REV007,3.7,0.9487,False,
F000326,2024-01-01,fraud,low,downrank,REV002,24.8,0.873,False,
F000327,2024-01-01,fraud,low,downrank,REV002,129.6,0.8644,False,
F000328,2024-01-01,fraud,low,allow,REV014,122.9,0.8873,False,
F000329,2024-01-01,fraud,low,allow,REV006,146.6,0.8342,False,
F000330,2024-01-01,fraud,low,downrank,REV002,3.4,0.9066,False,
F000331,2024-01-01,fraud,medium,human_review,REV020,66.1,0.8721,False,
F000332,2024-01-01,fraud,low,downrank,REV011,49.1,0.8115,False,
F000333,2024-01-01,fraud,medium,downrank,REV011,1.4,0.8493,False,
F000334,2024-01-01,fraud,medium,downrank,REV019,8.5,0.9345,False,
F000335,2024-01-01,fraud,low,downrank,REV016,9.4,0.8245,False,
F000336,2024-01-01,fraud,low,allow,REV017,274.2,0.9027,False,
F000337,2024-01-01,fraud,low,downrank,REV018,90.4,0.8845,False,
F000338,2024-01-01,fraud,low,allow,REV003,28.7,0.8086,False,
F000339,2024-01-01,fraud,low,allow,REV002,70.4,0.8871,False,
F000340,2024-01-01,fraud,low,allow,REV010,75.0,0.898,False,
F000341,2024-01-01,fraud,medium,human_review,REV013,43.1,0.7834,False,
F000342,2024-01-01,fraud,critical,auto_block,REV004,25.7,0.9116,False,
F000343,2024-01-01,fraud,low,downrank,REV004,14.8,0.8595,False,
F000344,2024-01-01,fraud,high,auto_block,REV003,16.9,0.9709,False,
F000345,2024-01-01,fraud,low,downrank,REV009,106.9,0.9336,False,
F000346,2024-01-01,fraud,low,allow,REV002,137.4,0.8495,False,
F000347,2024-01-01,fraud,low,downrank,REV002,48.7,0.8556,False,
F000348,2024-01-01,fraud,low,allow,REV017,12.4,0.9061,False,
F000349,2024-01-01,fraud,low,allow,REV005,34.5,0.883,False,
F000350,2024-01-01,fraud,low,downrank,REV001,65.8,0.8261,False,
F000351,2024-01-01,fraud,low,downrank,REV011,16.9,0.8199,False,
F000352,2024-01-01,fraud,critical,human_review,REV019,12.3,0.9249,False,
F000353,2024-01-01,fraud,low,downrank,REV006,14.8,0.9193,False,
F000354,2024-01-01,fraud,low,allow,REV008,110.0,0.8959,False,
F000355,2024-01-01,fraud,medium,downrank,REV004,3.1,0.7974,False,
F000356,2024-01-02,harassment,medium,downrank,REV004,83.0,0.8299,False,
F000357,2024-01-02,harassment,low,allow,REV016,44.2,0.861,False,
F000358,2024-01-02,harassment,high,human_review,REV009,42.1,0.8409,False,
F000359,2024-01-02,harassment,low,allow,REV018,27.8,0.8172,False,
F000360,2024-01-02,harassment,high,auto_block,REV003,34.9,0.848,False,
F000361,2024-01-02,harassment,medium,human_review,REV012,50.7,0.8453,False,
F000362,2024-01-02,harassment,high,auto_block,REV008,29.5,0.8467,False,
F000363,2024-01-02,harassment,medium,human_review,REV011,1.3,0.9395,False,
F000364,2024-01-02,harassment,low,allow,REV020,55.5,0.8321,False,
F000365,2024-01-02,harassment,high,auto_block,REV012,11.3,0.8748,False,
F000366,2024-01-02,harassment,medium,human_review,REV019,8.5,0.8711,False,
F000367,2024-01-02,harassment,low,downrank,REV005,41.3,0.9892,False,
F000368,2024-01-02,harassment,low,allow,REV011,77.3,0.8487,False,
F000369,2024-01-02,harassment,low,allow,REV002,81.0,0.8166,False,
F000370,2024-01-02,harassment,low,allow,REV012,68.7,0.8524,False,
F000371,2024-01-02,harassment,medium,human_review,REV020,76.1,0.8598,False,
F000372,2024-01-02,harassment,low,downrank,REV004,269.2,0.8952,False,
F000373,2024-01-02,harassment,low,allow,REV003,72.8,0.8405,False,
